climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_coldwave_max_30d_cos_above_1_std_lag_14d,0.616,0.744,5,0.256
climate_risk_drought_ma_90d_thresh_mag_above_1_std_lag_14d,0.614,0.825,15,1.176
climate_risk_drought_ma_90d_ssqrt_above_1_std_lag_14d,0.604,0.753,53,2.362
climate_risk_drought_ma_60d_ssqrt_above_1_std_lag_14d,0.602,0.759,47,2.094
climate_risk_coldwave_max_14d_cos_above_1_std_lag_14d,0.598,0.647,2,0.113
climate_risk_drought_ma_90d_cos_above_1_std_lag_14d,0.597,0.788,65,2.897
climate_risk_unseasonably_cold_max_60d_sin_above_1_std_lag_14d,0.597,0.597,1,0.057
climate_risk_drought_ma_60d_cos_above_1_std_lag_14d,0.594,0.746,58,2.585
climate_risk_drought_ma_30d_cos_above_1_std_lag_14d,0.593,0.71,43,1.916
climate_risk_drought_ma_60d_sin_above_1_std_lag_14d,0.592,0.766,43,1.916
climate_risk_drought_ma_60d_log1p_above_1_std_lag_14d,0.589,0.738,43,1.916
climate_risk_excess_precip_ma_60d_cos_above_1_std_lag_14d,0.588,0.677,16,0.713
climate_risk_drought_ma_90d_log1p_above_1_std_lag_14d,0.588,0.726,54,2.406
climate_risk_coldwave_ma_30d_cos_above_1_std_lag_14d,0.588,0.675,3,0.153
climate_risk_drought_ma_14d_cos_above_1_std_lag_14d,0.586,0.649,21,0.936
climate_risk_heat_stress_ma_60d_cos_above_1_std_lag_14d,0.586,0.672,6,0.343
climate_risk_drought_ma_90d_sin_above_1_std_lag_14d,0.584,0.729,56,2.496
climate_risk_heat_stress_ma_60d_sin_above_1_std_lag_14d,0.582,0.66,6,0.535
climate_risk_heat_stress_ma_60d_log1p_above_1_std_lag_14d,0.581,0.654,6,0.519
climate_risk_coldwave_max_60d_cos_above_1_std_lag_14d,0.58,0.734,22,1.097
climate_risk_excess_precip_ma_60d_ssqrt_above_1_std_lag_14d,0.58,0.776,46,2.05
climate_risk_drought_ma_14d_log1p_above_1_std_lag_14d,0.579,0.634,19,0.847
climate_risk_heat_stress_ma_90d_log1p_above_1_std_lag_14d,0.577,0.654,6,0.477
climate_risk_coldwave_ma_14d_cos_above_1_std_lag_14d,0.576,0.576,1,0.057
climate_risk_drought_ma_14d_sin_above_1_std_lag_14d,0.574,0.621,20,0.891
climate_risk_drought_ma_14d_ssqrt_above_1_std_lag_14d,0.574,0.607,18,0.802
climate_risk_coldwave_max_60d_sin_above_1_std_lag_14d,0.574,0.686,23,1.176
climate_risk_drought_ma_30d_ssqrt_above_1_std_lag_14d,0.573,0.642,40,1.783
climate_risk_excess_precip_max_30d_ssqrt_above_1_std_lag_14d,0.573,0.66,16,0.713
climate_risk_excess_precip_max_60d_sin_above_1_std_lag_14d,0.57,0.663,26,1.159
climate_risk_coldwave_max_14d_log1p_above_1_std_lag_14d,0.569,0.569,1,0.062
climate_risk_drought_max_30d_ssqrt_above_1_std_lag_14d,0.569,0.632,14,0.624
climate_risk_heat_stress_ma_90d_sin_above_1_std_lag_14d,0.569,0.66,7,0.564
climate_risk_coldwave_max_60d_log1p_above_1_std_lag_14d,0.567,0.651,21,1.074
climate_risk_drought_ma_30d_log1p_above_1_std_lag_14d,0.566,0.636,41,1.827
climate_risk_unseasonably_cold_max_60d_log1p_above_1_std_lag_14d,0.566,0.618,14,0.815
climate_risk_unseasonably_cold_max_90d_log1p_above_1_std_lag_14d,0.565,0.628,16,0.88
climate_risk_heat_stress_ma_90d_cos_above_1_std_lag_14d,0.565,0.653,7,0.381
climate_risk_coldwave_max_30d_log1p_above_1_std_lag_14d,0.564,0.671,6,0.336
climate_risk_drought_ma_30d_sin_above_1_std_lag_14d,0.564,0.639,39,1.738
climate_risk_excess_precip_max_60d_cos_above_1_std_lag_14d,0.564,0.615,11,0.49
climate_risk_drought_max_30d_cos_above_1_std_lag_14d,0.563,0.73,23,1.025
climate_risk_excess_precip_max_30d_sin_above_1_std_lag_14d,0.562,0.652,20,0.891
climate_risk_excess_precip_max_30d_log1p_above_1_std_lag_14d,0.56,0.644,20,0.891
climate_risk_excess_precip_ma_90d_cos_above_1_std_lag_14d,0.559,0.618,23,1.025
climate_risk_heat_stress_ma_60d_ssqrt_above_1_std_lag_14d,0.559,0.628,7,0.479
climate_risk_excess_precip_ma_90d_ssqrt_above_1_std_lag_14d,0.558,0.731,57,2.54
climate_risk_excess_precip_ma_60d_sin_above_1_std_lag_14d,0.557,0.686,29,1.292
climate_risk_drought_max_60d_cos_above_1_std_lag_14d,0.556,0.646,5,0.223
climate_risk_unseasonably_cold_max_60d_thresh_mag_above_1_std_lag_14d,0.556,0.594,3,0.184
climate_risk_excess_precip_ma_30d_ssqrt_above_1_std_lag_14d,0.556,0.66,27,1.203
climate_risk_excess_precip_ma_90d_tangent_above_1_std_lag_14d,0.556,0.655,29,1.292
climate_risk_excess_precip_max_60d_ssqrt_above_1_std_lag_14d,0.556,0.63,20,0.891
climate_risk_coldwave_max_60d_ssqrt_above_1_std_lag_14d,0.555,0.688,19,0.972
climate_risk_excess_precip_max_30d_cos_above_1_std_lag_14d,0.554,0.578,6,0.267
climate_risk_coldwave_max_14d_sin_above_1_std_lag_14d,0.554,0.554,1,0.062
climate_risk_coldwave_ma_60d_cos_above_1_std_lag_14d,0.554,0.623,10,0.49
climate_risk_excess_precip_ma_60d_log1p_above_1_std_lag_14d,0.552,0.672,40,1.783
climate_risk_drought_max_30d_log1p_above_1_std_lag_14d,0.552,0.631,14,0.624
climate_risk_drought_max_14d_cos_above_1_std_lag_14d,0.551,0.642,12,0.535
climate_risk_coldwave_max_30d_ssqrt_above_1_std_lag_14d,0.551,0.61,4,0.22
climate_risk_unseasonably_cold_ma_60d_sin_above_1_std_lag_14d,0.551,0.551,1,0.092
climate_risk_excess_precip_max_60d_log1p_above_1_std_lag_14d,0.551,0.641,26,1.159
climate_risk_unseasonably_cold_max_90d_sin_above_1_std_lag_14d,0.551,0.597,2,0.108
climate_risk_unseasonably_cold_max_30d_cos_above_1_std_lag_14d,0.549,0.549,1,0.055
climate_risk_unseasonably_cold_max_30d_sin_above_1_std_lag_14d,0.549,0.592,2,0.124
climate_risk_unseasonably_cold_max_30d_log1p_above_1_std_lag_14d,0.549,0.587,2,0.127
climate_risk_heat_stress_ma_90d_ssqrt_above_1_std_lag_14d,0.549,0.64,10,0.654
climate_risk_excess_precip_ma_90d_sin_above_1_std_lag_14d,0.548,0.649,39,1.738
climate_risk_coldwave_max_30d_sin_above_1_std_lag_14d,0.547,0.653,7,0.388
climate_risk_excess_precip_ma_90d_log1p_above_1_std_lag_14d,0.546,0.633,47,2.094
climate_risk_coldwave_ma_60d_sin_above_1_std_lag_14d,0.546,0.546,1,0.093
climate_risk_heat_stress_ma_30d_ssqrt_above_1_std_lag_14d,0.544,0.544,1,0.07
climate_risk_drought_ma_60d_thresh_mag_above_1_std_lag_14d,0.544,0.617,18,1.176
climate_risk_drought_max_30d_thresh_mag_above_1_std_lag_14d,0.543,0.667,17,0.758
climate_risk_unseasonably_cold_max_30d_ssqrt_above_1_std_lag_14d,0.538,0.59,4,0.245
climate_risk_heat_stress_max_60d_sin_above_1_std_lag_14d,0.538,0.571,8,0.501
climate_risk_drought_max_90d_ssqrt_above_1_std_lag_14d,0.537,0.567,6,0.267
climate_risk_drought_max_14d_sin_above_1_std_lag_14d,0.536,0.576,7,0.312
climate_risk_drought_max_30d_sin_above_1_std_lag_14d,0.536,0.603,9,0.401
climate_risk_drought_max_60d_thresh_mag_above_1_std_lag_14d,0.536,0.58,11,0.49
climate_risk_drought_max_14d_log1p_above_1_std_lag_14d,0.535,0.572,9,0.401
climate_risk_drought_max_14d_ssqrt_above_1_std_lag_14d,0.535,0.56,9,0.401
climate_risk_unseasonably_cold_max_90d_ssqrt_above_1_std_lag_14d,0.534,0.553,5,0.27
climate_risk_drought_ma_30d_thresh_mag_above_1_std_lag_14d,0.534,0.581,10,0.507
climate_risk_excess_precip_max_90d_log1p_above_1_std_lag_14d,0.533,0.582,15,0.668
climate_risk_unseasonably_cold_max_60d_ssqrt_above_1_std_lag_14d,0.533,0.535,2,0.114
climate_risk_unseasonably_cold_ma_60d_cos_above_1_std_lag_14d,0.533,0.546,2,0.103
climate_risk_excess_precip_max_90d_sin_above_1_std_lag_14d,0.532,0.593,14,0.624
climate_risk_excess_precip_ma_30d_cos_above_1_std_lag_14d,0.532,0.56,9,0.401
climate_risk_drought_max_90d_log1p_above_1_std_lag_14d,0.532,0.569,7,0.312
climate_risk_unseasonably_cold_ma_60d_log1p_above_1_std_lag_14d,0.531,0.531,1,0.09
climate_risk_drought_max_60d_ssqrt_above_1_std_lag_14d,0.53,0.597,15,0.668
climate_risk_unseasonably_cold_max_30d_thresh_mag_above_1_std_lag_14d,0.53,0.53,1,0.068
climate_risk_coldwave_ma_30d_ssqrt_above_1_std_lag_14d,0.53,0.53,1,0.073
climate_risk_drought_max_60d_sin_above_1_std_lag_14d,0.529,0.578,5,0.223
climate_risk_excess_precip_max_90d_ssqrt_above_1_std_lag_14d,0.529,0.568,13,0.579
climate_risk_excess_precip_ma_30d_sin_above_1_std_lag_14d,0.528,0.555,14,0.624
climate_risk_heat_stress_max_90d_thresh_mag_above_1_std_lag_14d,0.527,0.527,1,0.067
climate_risk_heat_stress_max_60d_ssqrt_above_1_std_lag_14d,0.527,0.547,9,0.535
climate_risk_excess_precip_ma_30d_log1p_above_1_std_lag_14d,0.525,0.553,19,0.847
climate_risk_excess_precip_max_14d_ssqrt_above_1_std_lag_14d,0.525,0.542,6,0.267
climate_risk_drought_max_60d_log1p_above_1_std_lag_14d,0.525,0.598,14,0.624
climate_risk_coldwave_ma_60d_log1p_above_1_std_lag_14d,0.524,0.524,1,0.089
climate_risk_drought_max_90d_thresh_mag_above_1_std_lag_14d,0.523,0.55,8,0.357
climate_risk_unseasonably_cold_max_90d_thresh_mag_above_1_std_lag_14d,0.523,0.542,5,0.286
climate_risk_coldwave_max_14d_ssqrt_above_1_std_lag_14d,0.522,0.522,1,0.059
climate_risk_drought_ma_14d_thresh_mag_above_1_std_lag_14d,0.522,0.541,3,0.14
climate_risk_excess_precip_max_90d_cos_above_1_std_lag_14d,0.521,0.521,1,0.045
climate_risk_unseasonably_cold_ma_30d_cos_above_1_std_lag_14d,0.521,0.521,1,0.055
climate_risk_excess_precip_max_90d_thresh_mag_above_1_std_lag_14d,0.52,0.533,2,0.089
climate_risk_excess_precip_max_14d_log1p_above_1_std_lag_14d,0.519,0.529,5,0.223
climate_risk_heat_stress_max_60d_log1p_above_1_std_lag_14d,0.517,0.536,8,0.501
climate_risk_excess_precip_max_60d_thresh_mag_above_1_std_lag_14d,0.517,0.517,1,0.045
climate_risk_excess_precip_max_14d_sin_above_1_std_lag_14d,0.517,0.519,5,0.223
climate_risk_drought_max_14d_thresh_mag_above_1_std_lag_14d,0.515,0.525,6,0.269
climate_risk_unseasonably_cold_ma_60d_ssqrt_above_1_std_lag_14d,0.515,0.536,5,0.359
climate_risk_unseasonably_cold_ma_90d_cos_above_1_std_lag_14d,0.513,0.521,3,0.15
climate_risk_unseasonably_cold_ma_90d_ssqrt_above_1_std_lag_14d,0.511,0.532,6,0.436
climate_risk_unseasonably_cold_max_90d_cos_above_1_std_lag_14d,0.509,0.509,1,0.056
climate_risk_heat_stress_max_90d_sin_above_1_std_lag_14d,0.507,0.522,5,0.286
climate_risk_heat_stress_max_90d_ssqrt_above_1_std_lag_14d,0.507,0.517,4,0.226
climate_risk_heat_stress_ma_30d_sin_above_1_std_lag_14d,0.506,0.506,1,0.089
climate_risk_heat_stress_ma_30d_log1p_above_1_std_lag_14d,0.504,0.504,1,0.089
climate_risk_unseasonably_cold_ma_30d_ssqrt_above_1_std_lag_14d,0.501,0.501,1,0.072
climate_risk_excess_precip_max_240d_cos_lag_30d,0.618,0.79,43,1.916
climate_risk_excess_precip_max_240d_log1p_lag_30d,0.617,0.804,47,2.094
climate_risk_excess_precip_max_240d_ssqrt_lag_30d,0.616,0.802,47,2.094
climate_risk_coldwave_ma_240d_cos_lag_30d,0.602,0.723,7,0.319
climate_risk_drought_ma_240d_ssqrt_lag_30d,0.592,0.749,47,2.094
climate_risk_drought_ma_240d_sin_lag_30d,0.591,0.745,47,2.094
climate_risk_excess_precip_max_240d_thresh_mag_lag_30d,0.59,0.762,59,2.629
climate_risk_drought_ma_240d_tangent_lag_30d,0.589,0.725,46,2.05
climate_risk_drought_ma_240d_log1p_lag_30d,0.588,0.746,49,2.184
climate_risk_drought_ma_240d_cos_lag_30d,0.587,0.715,43,1.916
climate_risk_coldwave_max_240d_sin_lag_30d,0.586,0.74,7,0.319
climate_risk_coldwave_max_240d_ssqrt_lag_30d,0.584,0.738,7,0.319
climate_risk_coldwave_ma_240d_sin_lag_30d,0.581,0.708,10,0.456
climate_risk_coldwave_ma_240d_tangent_lag_30d,0.58,0.708,10,0.456
climate_risk_coldwave_max_240d_tangent_lag_30d,0.578,0.69,5,0.228
climate_risk_coldwave_max_240d_log1p_lag_30d,0.578,0.741,8,0.365
climate_risk_coldwave_ma_240d_log1p_lag_30d,0.574,0.707,11,0.502
climate_risk_drought_score_country_std_cos_lag_30d,0.572,0.59,2,0.089
climate_risk_drought_score_country_std_tangent_lag_30d,0.554,0.597,3,0.134
climate_risk_coldwave_max_240d_cos_lag_30d,0.55,0.645,5,0.228
climate_risk_drought_score_country_std_sin_lag_30d,0.549,0.595,3,0.134
climate_risk_excess_precip_ma_240d_sin_lag_30d,0.549,0.661,89,3.966
climate_risk_coldwave_ma_240d_ssqrt_lag_30d,0.548,0.714,15,0.684
climate_risk_drought_score_country_std_log1p_lag_30d,0.548,0.593,3,0.134
climate_risk_excess_precip_score_country_std_tangent_lag_30d,0.548,0.592,4,0.178
climate_risk_excess_precip_ma_240d_tangent_lag_30d,0.547,0.659,84,3.743
climate_risk_heat_stress_score_country_mean_thresh_mag_lag_30d,0.547,0.583,4,1.307
climate_risk_excess_precip_score_country_std_log1p_lag_30d,0.546,0.589,4,0.178
climate_risk_unseasonably_cold_score_country_mean_log1p_lag_30d,0.546,0.577,8,0.495
climate_risk_excess_precip_ma_240d_cos_lag_30d,0.545,0.642,47,2.094
climate_risk_unseasonably_cold_score_country_mean_tangent_lag_30d,0.545,0.577,8,0.495
climate_risk_excess_precip_score_country_std_sin_lag_30d,0.545,0.589,4,0.178
climate_risk_unseasonably_cold_score_country_mean_sin_lag_30d,0.545,0.577,8,0.495
climate_risk_excess_precip_score_country_std_ssqrt_lag_30d,0.544,0.595,4,0.178
climate_risk_unseasonably_cold_score_country_std_log1p_lag_30d,0.544,0.583,9,0.557
climate_risk_unseasonably_cold_score_country_std_sin_lag_30d,0.543,0.579,9,0.557
climate_risk_drought_max_240d_sin_lag_30d,0.542,0.566,3,0.134
climate_risk_excess_precip_score_country_std_cos_lag_30d,0.542,0.57,3,0.134
climate_risk_drought_max_240d_log1p_lag_30d,0.542,0.633,24,1.07
climate_risk_unseasonably_cold_score_country_mean_ssqrt_lag_30d,0.541,0.563,9,0.557
climate_risk_drought_score_country_std_ssqrt_lag_30d,0.54,0.588,3,0.134
climate_risk_unseasonably_cold_score_country_std_ssqrt_lag_30d,0.54,0.584,10,0.619
climate_risk_drought_max_240d_ssqrt_lag_30d,0.54,0.631,24,1.07
climate_risk_unseasonably_cold_score_country_max_sin_lag_30d,0.539,0.562,8,0.495
climate_risk_unseasonably_cold_score_country_std_tangent_lag_30d,0.539,0.564,9,0.557
climate_risk_drought_score_country_max_ssqrt_lag_30d,0.538,0.595,6,0.267
climate_risk_unseasonably_cold_score_country_max_tangent_lag_30d,0.537,0.563,7,0.433
climate_risk_excess_precip_score_country_mean_cos_lag_30d,0.537,0.559,3,0.134
climate_risk_drought_max_240d_cos_lag_30d,0.536,0.624,20,0.891
climate_risk_unseasonably_cold_score_country_mean_cos_lag_30d,0.535,0.564,5,0.31
climate_risk_unseasonably_cold_score_country_max_log1p_lag_30d,0.535,0.562,10,0.619
climate_risk_drought_max_240d_thresh_mag_lag_30d,0.535,0.595,15,0.668
climate_risk_unseasonably_cold_score_country_max_ssqrt_lag_30d,0.535,0.555,10,0.619
climate_risk_drought_score_country_max_log1p_lag_30d,0.534,0.597,8,0.357
climate_risk_drought_score_country_mean_sin_lag_30d,0.534,0.595,15,0.668
climate_risk_drought_score_country_mean_ssqrt_lag_30d,0.534,0.604,14,0.624
climate_risk_drought_score_country_mean_tangent_lag_30d,0.534,0.57,12,0.535
climate_risk_drought_score_country_mean_log1p_lag_30d,0.533,0.598,15,0.668
climate_risk_excess_precip_score_country_mean_sin_lag_30d,0.533,0.585,10,0.446
climate_risk_excess_precip_score_country_max_ssqrt_lag_30d,0.532,0.567,4,0.178
climate_risk_excess_precip_score_country_mean_log1p_lag_30d,0.532,0.585,10,0.446
climate_risk_excess_precip_score_country_max_log1p_lag_30d,0.532,0.555,4,0.178
climate_risk_drought_score_country_max_sin_lag_30d,0.529,0.571,7,0.312
climate_risk_drought_score_country_max_cos_lag_30d,0.526,0.609,14,0.624
climate_risk_drought_score_country_mean_cos_lag_30d,0.526,0.57,21,0.936
climate_risk_excess_precip_score_country_mean_ssqrt_lag_30d,0.525,0.554,7,0.312
climate_risk_drought_score_country_max_thresh_mag_lag_30d,0.524,0.546,4,0.181
climate_risk_excess_precip_max_240d_sin_lag_30d,0.524,0.54,13,0.579
climate_risk_excess_precip_score_country_mean_tangent_lag_30d,0.523,0.556,8,0.357
climate_risk_unseasonably_cold_score_country_max_cos_lag_30d,0.523,0.549,5,0.31
climate_risk_excess_precip_score_country_max_sin_lag_30d,0.522,0.535,2,0.089
climate_risk_excess_precip_score_country_max_cos_lag_30d,0.522,0.545,5,0.223
climate_risk_unseasonably_cold_score_country_std_cos_lag_30d,0.519,0.549,6,0.372
climate_risk_heat_stress_score_country_mean_cos_lag_30d,0.518,0.531,3,0.203
climate_risk_drought_max_240d_tangent_lag_30d,0.515,0.53,6,0.267
climate_risk_heat_stress_score_country_mean_log1p_lag_30d,0.509,0.509,1,0.068
climate_risk_heat_stress_score_country_mean_ssqrt_lag_30d,0.503,0.503,2,0.135
climate_risk_heat_stress_score_country_std_ssqrt_lag_30d,0.502,0.502,1,0.068
climate_risk_drought_max_14d_above_2_std_lag_30d,0.619,0.698,13,0.588
climate_risk_excess_precip_max_240d_above_2_std_lag_30d,0.615,0.791,46,2.05
climate_risk_drought_ma_90d_above_2_std_lag_30d,0.597,0.71,26,1.195
climate_risk_drought_max_30d_above_2_std_lag_30d,0.593,0.664,14,0.629
climate_risk_coldwave_score_country_std_ssqrt_above_1_std_lag_30d,0.59,0.59,1,0.062
climate_risk_drought_ma_60d_above_2_std_lag_30d,0.583,0.707,42,1.9
climate_risk_heat_stress_ma_30d_above_2_std_lag_30d,0.582,0.606,3,0.353
climate_risk_drought_ma_30d_above_2_std_lag_30d,0.582,0.694,25,1.14
climate_risk_drought_ma_120d_above_2_std_lag_30d,0.581,0.753,32,1.459
climate_risk_heat_stress_ma_60d_above_2_std_lag_30d,0.577,0.679,7,0.858
climate_risk_heat_stress_ma_90d_above_2_std_lag_30d,0.577,0.643,6,0.784
climate_risk_coldwave_score_country_std_log1p_above_1_std_lag_30d,0.577,0.577,1,0.064
climate_risk_coldwave_score_country_std_sin_above_1_std_lag_30d,0.575,0.575,1,0.066
climate_risk_unseasonably_cold_max_120d_above_2_std_lag_30d,0.575,0.613,2,0.12
climate_risk_excess_precip_ma_60d_above_2_std_lag_30d,0.575,0.684,19,0.847
climate_risk_unseasonably_cold_max_90d_above_2_std_lag_30d,0.575,0.613,2,0.128
climate_risk_drought_score_country_std_cos_above_1_std_lag_30d,0.572,0.59,2,0.089
climate_risk_drought_ma_240d_above_2_std_lag_30d,0.568,0.729,31,1.381
climate_risk_coldwave_score_country_std_tangent_above_1_std_lag_30d,0.564,0.564,1,0.067
climate_risk_drought_weighted_score_country_sum_thresh_mag_above_1_std_lag_30d,0.561,0.561,1,0.088
climate_risk_excess_precip_ma_90d_above_2_std_lag_30d,0.559,0.624,17,0.758
climate_risk_drought_score_country_std_tangent_above_1_std_lag_30d,0.559,0.584,2,0.089
climate_risk_unseasonably_cold_ma_90d_above_2_std_lag_30d,0.557,0.598,8,1.094
climate_risk_coldwave_score_country_max_log1p_above_1_std_lag_30d,0.557,0.557,1,0.066
climate_risk_excess_precip_weighted_score_country_sum_sin_above_1_std_lag_30d,0.556,0.627,9,0.401
climate_risk_drought_max_7d_above_2_std_lag_30d,0.555,0.585,8,0.362
climate_risk_heat_stress_ma_120d_above_2_std_lag_30d,0.553,0.564,2,0.256
climate_risk_drought_ma_14d_above_2_std_lag_30d,0.553,0.605,16,0.718
climate_risk_coldwave_score_country_max_ssqrt_above_1_std_lag_30d,0.55,0.55,1,0.062
climate_risk_drought_max_60d_above_2_std_lag_30d,0.548,0.654,12,0.535
climate_risk_coldwave_max_7d_above_2_std_lag_30d,0.547,0.547,1,0.072
climate_risk_excess_precip_ma_120d_above_2_std_lag_30d,0.547,0.625,27,1.203
climate_risk_heat_stress_max_120d_above_2_std_lag_30d,0.547,0.547,1,0.065
climate_risk_excess_precip_weighted_score_country_sum_log1p_above_1_std_lag_30d,0.546,0.617,11,0.49
climate_risk_drought_score_country_std_ssqrt_above_1_std_lag_30d,0.545,0.588,3,0.134
climate_risk_heat_stress_max_240d_above_2_std_lag_30d,0.544,0.59,5,0.263
climate_risk_drought_score_country_max_above_2_std_lag_30d,0.542,0.563,7,0.317
climate_risk_excess_precip_score_country_std_cos_above_1_std_lag_30d,0.542,0.57,3,0.134
climate_risk_excess_precip_weighted_score_country_sum_cos_above_1_std_lag_30d,0.539,0.61,16,0.713
climate_risk_excess_precip_score_country_mean_above_2_std_lag_30d,0.539,0.567,4,0.178
climate_risk_excess_precip_ma_240d_above_2_std_lag_30d,0.537,0.611,38,1.693
climate_risk_drought_max_240d_above_2_std_lag_30d,0.537,0.624,18,0.802
climate_risk_drought_score_country_mean_ssqrt_above_1_std_lag_30d,0.536,0.594,10,0.446
climate_risk_excess_precip_score_country_std_ssqrt_above_1_std_lag_30d,0.536,0.575,4,0.178
climate_risk_excess_precip_weighted_score_country_sum_ssqrt_above_1_std_lag_30d,0.535,0.569,7,0.312
climate_risk_drought_weighted_score_country_sum_ssqrt_above_1_std_lag_30d,0.535,0.575,10,0.446
climate_risk_drought_score_country_mean_sin_above_1_std_lag_30d,0.534,0.558,10,0.446
climate_risk_excess_precip_weighted_score_country_sum_above_2_std_lag_30d,0.533,0.565,7,0.319
climate_risk_unseasonably_cold_max_60d_above_2_std_lag_30d,0.532,0.538,2,0.134
climate_risk_drought_weighted_score_country_sum_cos_above_1_std_lag_30d,0.531,0.577,12,0.535
climate_risk_excess_precip_max_90d_above_2_std_lag_30d,0.53,0.553,3,0.134
climate_risk_drought_weighted_score_country_sum_sin_above_1_std_lag_30d,0.529,0.556,12,0.551
climate_risk_drought_score_country_max_sin_above_1_std_lag_30d,0.529,0.564,5,0.223
climate_risk_drought_score_country_mean_log1p_above_1_std_lag_30d,0.529,0.569,12,0.535
climate_risk_excess_precip_max_120d_above_2_std_lag_30d,0.528,0.554,13,0.579
climate_risk_drought_score_country_std_sin_above_1_std_lag_30d,0.528,0.571,3,0.134
climate_risk_drought_score_country_std_log1p_above_1_std_lag_30d,0.528,0.569,3,0.134
climate_risk_drought_score_country_max_log1p_above_1_std_lag_30d,0.528,0.572,6,0.267
climate_risk_drought_score_country_max_ssqrt_above_1_std_lag_30d,0.527,0.592,6,0.267
climate_risk_drought_max_90d_above_2_std_lag_30d,0.527,0.544,3,0.134
climate_risk_coldwave_score_country_max_cos_above_1_std_lag_30d,0.526,0.526,1,0.055
climate_risk_drought_score_country_mean_cos_above_1_std_lag_30d,0.526,0.57,21,0.936
climate_risk_drought_weighted_score_country_sum_log1p_above_1_std_lag_30d,0.525,0.56,12,0.535
climate_risk_drought_score_country_max_cos_above_1_std_lag_30d,0.525,0.576,17,0.758
climate_risk_drought_score_country_std_above_2_std_lag_30d,0.524,0.524,1,0.045
climate_risk_excess_precip_score_country_std_sin_above_1_std_lag_30d,0.524,0.537,2,0.089
climate_risk_coldwave_max_30d_above_2_std_lag_30d,0.524,0.524,1,0.076
climate_risk_heat_stress_score_country_mean_above_2_std_lag_30d,0.524,0.524,1,0.131
climate_risk_drought_score_country_max_thresh_mag_above_1_std_lag_30d,0.524,0.546,4,0.181
climate_risk_heat_stress_max_30d_above_2_std_lag_30d,0.523,0.523,1,0.077
climate_risk_excess_precip_score_country_max_sin_above_1_std_lag_30d,0.522,0.522,1,0.045
climate_risk_heat_stress_max_14d_above_2_std_lag_30d,0.522,0.531,5,0.408
climate_risk_excess_precip_score_country_std_log1p_above_1_std_lag_30d,0.522,0.536,2,0.089
climate_risk_coldwave_score_country_max_sin_above_1_std_lag_30d,0.521,0.521,1,0.066
climate_risk_heat_stress_weighted_score_country_sum_above_2_std_lag_30d,0.521,0.521,1,0.111
climate_risk_unseasonably_cold_weighted_score_country_sum_ssqrt_above_1_std_lag_30d,0.52,0.532,7,0.49
climate_risk_excess_precip_score_country_std_tangent_above_1_std_lag_30d,0.52,0.545,3,0.134
climate_risk_drought_score_country_mean_above_2_std_lag_30d,0.518,0.559,15,0.7
climate_risk_excess_precip_score_country_max_above_2_std_lag_30d,0.518,0.518,1,0.045
climate_risk_coldwave_max_240d_above_2_std_lag_30d,0.515,0.518,3,0.21
climate_risk_coldwave_score_country_max_thresh_mag_above_1_std_lag_30d,0.514,0.514,1,0.082
climate_risk_drought_ma_7d_above_2_std_lag_30d,0.514,0.538,5,0.223
climate_risk_drought_weighted_score_country_sum_above_2_std_lag_30d,0.513,0.529,4,0.208
climate_risk_unseasonably_cold_weighted_score_country_sum_cos_above_1_std_lag_30d,0.511,0.519,5,0.31
climate_risk_heat_stress_weighted_score_country_sum_cos_above_1_std_lag_30d,0.511,0.522,3,0.203
climate_risk_unseasonably_cold_ma_30d_above_2_std_lag_30d,0.51,0.51,1,0.131
climate_risk_heat_stress_weighted_score_country_sum_log1p_above_1_std_lag_30d,0.51,0.51,1,0.083
climate_risk_coldwave_score_country_std_cos_above_1_std_lag_30d,0.509,0.509,1,0.055
climate_risk_heat_stress_max_60d_above_2_std_lag_30d,0.509,0.509,1,0.074
climate_risk_excess_precip_score_country_max_cos_above_1_std_lag_30d,0.507,0.507,1,0.045
climate_risk_excess_precip_score_country_std_above_2_std_lag_30d,0.507,0.507,1,0.045
climate_risk_unseasonably_cold_ma_60d_above_2_std_lag_30d,0.505,0.505,2,0.274
climate_risk_heat_stress_weighted_score_country_sum_sin_above_1_std_lag_30d,0.503,0.503,1,0.088
climate_risk_heat_stress_weighted_score_country_sum_ssqrt_above_1_std_lag_30d,0.503,0.503,1,0.069
climate_risk_unseasonably_cold_max_240d_above_2_std_lag_30d,0.502,0.502,1,0.05
climate_risk_heat_stress_max_90d_above_2_std_lag_30d,0.5,0.5,1,0.068
climate_risk_coldwave_max_14d_above_1_std,0.678,0.685,2,0.135
climate_risk_coldwave_max_90d_above_1_std,0.614,0.716,23,1.23
climate_risk_excess_precip_max_240d_above_1_std,0.614,0.788,53,2.362
climate_risk_drought_ma_30d_above_1_std,0.61,0.699,28,1.248
climate_risk_coldwave_max_60d_above_1_std,0.594,0.707,34,1.942
climate_risk_drought_ma_90d_above_1_std,0.592,0.736,56,2.496
climate_risk_drought_ma_60d_above_1_std,0.592,0.698,49,2.184
climate_risk_drought_ma_240d_above_1_std,0.587,0.711,52,2.317
climate_risk_coldwave_score_country_mean_ssqrt,0.586,0.612,7,0.404
climate_risk_drought_ma_120d_above_1_std,0.585,0.756,66,2.941
