climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_heat_stress_ma_30d_above_1_std_lag_30d,0.58,0.649,5,0.439
climate_risk_drought_ma_120d_above_1_std_lag_30d,0.572,0.764,70,3.119
climate_risk_coldwave_score_country_std_above_1_std_lag_30d,0.572,0.572,1,0.067
climate_risk_drought_max_60d_above_1_std_lag_30d,0.568,0.627,11,0.49
climate_risk_drought_ma_14d_above_1_std_lag_30d,0.566,0.627,19,0.847
climate_risk_drought_max_14d_above_1_std_lag_30d,0.566,0.696,21,0.936
climate_risk_unseasonably_cold_max_120d_above_1_std_lag_30d,0.566,0.625,3,0.165
climate_risk_unseasonably_cold_max_240d_above_1_std_lag_30d,0.565,0.566,2,0.099
climate_risk_unseasonably_cold_score_country_std_above_1_std_lag_30d,0.563,0.563,1,0.071
climate_risk_drought_weighted_score_country_sum_thresh_mag_lag_30d,0.561,0.561,1,0.088
climate_risk_excess_precip_ma_60d_above_1_std_lag_30d,0.556,0.672,27,1.203
climate_risk_coldwave_score_country_max_log1p_lag_30d,0.555,0.555,1,0.055
climate_risk_excess_precip_ma_90d_above_1_std_lag_30d,0.553,0.687,37,1.649
climate_risk_excess_precip_weighted_score_country_sum_above_1_std_lag_30d,0.552,0.627,10,0.446
climate_risk_coldwave_max_7d_above_1_std_lag_30d,0.551,0.6,2,0.129
climate_risk_unseasonably_cold_max_30d_above_1_std_lag_30d,0.55,0.587,2,0.132
climate_risk_excess_precip_ma_240d_above_1_std_lag_30d,0.55,0.625,69,3.075
climate_risk_excess_precip_weighted_score_country_sum_log1p_lag_30d,0.55,0.598,14,0.624
climate_risk_heat_stress_ma_120d_above_1_std_lag_30d,0.55,0.58,5,0.397
climate_risk_coldwave_max_30d_above_1_std_lag_30d,0.548,0.629,18,1.08
climate_risk_excess_precip_weighted_score_country_sum_sin_lag_30d,0.545,0.601,16,0.713
climate_risk_coldwave_score_country_max_above_1_std_lag_30d,0.545,0.545,1,0.068
climate_risk_coldwave_max_120d_above_1_std_lag_30d,0.545,0.578,4,0.21
climate_risk_excess_precip_weighted_score_country_sum_tangent_lag_30d,0.544,0.614,14,0.624
climate_risk_coldwave_score_country_std_log1p_lag_30d,0.543,0.585,2,0.111
climate_risk_excess_precip_ma_120d_above_1_std_lag_30d,0.543,0.63,53,2.362
climate_risk_excess_precip_max_90d_above_1_std_lag_30d,0.541,0.588,18,0.802
climate_risk_coldwave_score_country_std_sin_lag_30d,0.54,0.58,2,0.111
climate_risk_drought_weighted_score_country_sum_sin_lag_30d,0.539,0.576,12,0.535
climate_risk_excess_precip_weighted_score_country_sum_cos_lag_30d,0.539,0.61,16,0.713
climate_risk_unseasonably_cold_max_90d_above_1_std_lag_30d,0.539,0.555,2,0.112
climate_risk_excess_precip_ma_30d_above_1_std_lag_30d,0.539,0.604,17,0.758
climate_risk_coldwave_score_country_std_ssqrt_lag_30d,0.538,0.592,3,0.166
